shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shp_11_1,50.762047,29.222624,1
shp_11_1,50.759970,29.222152,2
shp_11_1,50.757866,29.221101,3
shp_11_1,50.757578,29.227168,4
shp_11_1,50.757405,29.233643,5
shp_11_1,50.757340,29.237752,6
shp_11_1,50.757704,29.240048,7
shp_11_1,50.760961,29.239093,8
shp_11_1,50.765942,29.241207,9
shp_11_1,50.768036,29.242660,10
shp_11_1,50.772263,29.244838,11
shp_11_1,50.773650,29.247193,12
shp_11_1,50.771612,29.253180,13
shp_11_1,50.770624,29.255980,14
shp_11_1,50.772823,29.258067,15
shp_11_1,50.776242,29.261656,16
shp_11_1,50.778366,29.261795,17
shp_11_1,50.778583,29.262986,18
shp_11_1,50.778308,29.267712,19
shp_11_1,50.777579,29.275990,20
shp_11_1,50.777463,29.278983,21
shp_11_1,50.777212,29.282797,22
shp_11_1,50.776622,29.284959,23
shp_11_1,50.775374,29.288778,24
shp_11_1,50.773929,29.293467,25
shp_11_1,50.773735,29.294041,26
shp_11_1,50.774166,29.295098,27
shp_11_0,50.774166,29.295098,1
shp_11_0,50.774424,29.294733,2
shp_11_0,50.773929,29.293467,3
shp_11_0,50.775855,29.288177,4
shp_11_0,50.776815,29.285249,5
shp_11_0,50.777212,29.282797,6
shp_11_0,50.777463,29.278983,7
shp_11_0,50.777894,29.275239,8
shp_11_0,50.778461,29.268426,9
shp_11_0,50.778583,29.262986,10
shp_11_0,50.779064,29.262117,11
shp_11_0,50.778366,29.261795,12
shp_11_0,50.776242,29.261656,13
shp_11_0,50.772870,29.257863,14
shp_11_0,50.770624,29.255980,15
shp_11_0,50.771717,29.253405,16
shp_11_0,50.773650,29.247193,17
shp_11_0,50.772260,29.244441,18
shp_11_0,50.768036,29.242660,19
shp_11_0,50.767103,29.241647,20
shp_11_0,50.765963,29.240820,21
shp_11_0,50.760299,29.239238,22
shp_11_0,50.757704,29.240048,23
shp_11_0,50.757575,29.237881,24
shp_11_0,50.757405,29.233643,25
shp_11_0,50.757690,29.231701,26
shp_11_0,50.757792,29.226122,27
shp_11_0,50.757866,29.221101,28
shp_11_0,50.759970,29.222152,29
shp_11_0,50.762047,29.222624,30
shp_12_0,50.774166,29.295098,1
shp_12_0,50.774424,29.294733,2
shp_12_0,50.773929,29.293467,3
shp_12_0,50.775855,29.288177,4
shp_12_0,50.776815,29.285249,5
shp_12_0,50.777212,29.282797,6
shp_12_0,50.777463,29.278983,7
shp_12_0,50.777894,29.275239,8
shp_12_0,50.778461,29.268426,9
shp_12_0,50.778366,29.261795,10
shp_12_0,50.776649,29.255776,11
shp_12_0,50.775788,29.252236,12
shp_12_0,50.774202,29.249570,13
shp_12_0,50.772260,29.244441,14
