stop_id,stop_name,stop_lat,stop_lon,location_type
st_0001,10 ОГШБ (навпр.РЕМу),50.774295,29.225403,0
st_0002,14 ОМБ,50.765087,29.298338,0
st_0003,14 ОМБ (навпр),50.764687,29.297887,0
st_0007,Барміна,50.756380,29.243686,0
st_0009,вул. Олекси Тихого,50.778264,29.297125,0
st_0010,ГМП 14,50.758504,29.289980,0
st_0011,ГМП 14 (навпроти),50.759916,29.290409,0
st_0012,Грушевського 48,50.772263,29.244838,0
st_0013,Грушевського 87,50.775788,29.252236,0
st_0014,ДНЗ № 3,50.765192,29.249425,0
st_0015,"з-д ""Прожектор""",50.770624,29.255980,0
st_0016,"з-д ""РЕЙЛ""",50.777579,29.275990,0
st_0017,"з-д ""РЕЙЛ"" (навпроти)",50.777894,29.275239,0
st_0019,Залізничний вокзал,50.774166,29.295098,0
st_0020,"ЗОШ "" 3",50.771255,29.231980,0
st_0021,ЗОШ 5,50.771744,29.292512,0
st_0022,ЗОШ 5 (навпроти),50.771703,29.292984,0
st_0023,ЗОШ № 3 (навпроти),50.771384,29.232194,0
st_0024,Івана Мазепи 27,50.757704,29.240048,0
st_0025,Івана Мазепи 3,50.760961,29.239093,0
st_0026,Івана Мазепи 4,50.760299,29.239238,0
st_0027,Їдальня ЗОШ 6,50.760547,29.302608,0
st_0028,Їдальня ЗОШ 6 (навпроти),50.760506,29.302179,0
st_0029,Й. Кульчицького,50.776242,29.261656,0
st_0030,Й. Кульчицького (груш),50.776649,29.255776,0
st_0031,Кооперативний ринок,50.765942,29.241207,0
st_0032,Кооперативний ринок (навпр.),50.765963,29.240820,0
st_0033,Ливарний завод,50.776622,29.284959,0
st_0034,Ливарний завод (а/стоянка),50.776815,29.285249,0
st_0035,Лікарня,50.774373,29.220468,0
st_0036,Лікарня 2,50.774431,29.220741,0
st_0037,Лісна,50.782938,29.189301,0
st_0038,Лісотехнікум,50.777938,29.177424,0
st_0039,"м-н ""Богдан""",50.776381,29.218348,0
st_0040,"м-н ""Будмаркет""",50.760710,29.267031,0
st_0041,"м-н ""Будмаркет"" (навпроти)",50.760961,29.267642,0
st_0043,"м-н ""Вікторія""",50.757061,29.240923,0
st_0044,"м-н ""Доктор ЗОО""",50.767103,29.241647,0
st_0045,"м-н ""Корона""",50.769444,29.233691,0
st_0047,"м-н ""Наталка""",50.757578,29.227168,0
st_0048,"м-н ""Продукти"" навпроти ПТЛ",50.759941,29.284772,0
st_0049,"м-н ""Промінь""",50.766994,29.242451,0
st_0050,"м-н ""Росава""",50.769206,29.233664,0
st_0051,"м-н ""Сільпо""",50.772260,29.244441,0
st_0052,"м-н ""Сонечко""",50.773935,29.226873,0
st_0053,Малинівка,50.785020,29.278522,0
st_0054,Малинівський круг,50.778366,29.261795,0
st_0055,Малинське УЕГГ,50.759838,29.274316,0
st_0056,"маркет ""Соборний""",50.768131,29.241834,0
st_0057,Миру - ГМП (до перехрестя),50.765277,29.290323,0
st_0058,Миру - ГМП (за перехрестям),50.760513,29.288692,0
st_0059,Миру-Городищанська (перехр),50.759960,29.282126,0
st_0060,Молокозавод,50.777212,29.282797,0
st_0061,Огієнка 36,50.775855,29.288177,0
st_0062,Огієнка 65 (БАМ),50.778308,29.267712,0
st_0063,Огієнка 65 (БАМ) (навпроти),50.778461,29.268426,0
st_0064,Паперова фабрика Вайдманн,50.762047,29.222624,0
st_0065,Перемоги 15-17,50.772823,29.258067,0
st_0066,Перемоги 15-17 (зв),50.772870,29.257863,0
st_0067,перехр-тя Бондарик-Шевченка,50.771947,29.220972,0
st_0068,перехр.Горбатюка-Бандери,50.762916,29.257933,0
st_0069,перехрестя О. Тихого та Філатова,50.771506,29.305429,0
st_0070,пл. Соборна (біля РБК),50.768036,29.242660,0
st_0071,Поворот на Коновальця,50.766112,29.263410,0
st_0072,Поліклініка,50.776127,29.219363,0
st_0073,прехр.Горбатюка-Бандери 2,50.762536,29.260980,0
st_0074,Приходька 28,50.757690,29.231701,0
st_0075,Приходька 29,50.757405,29.233643,0
st_0076,Приходька 60 (ФБП),50.757792,29.226122,0
st_0077,Приходька 8,50.757575,29.237881,0
st_0078,Приходька 9,50.757340,29.237752,0
st_0079,ПТЛ,50.759753,29.281515,0
st_0080,РЕМ,50.774400,29.225623,0
st_0081,С.Бандери 36,50.765528,29.247617,0
st_0085,"ТОВ ""Фратеко""",50.775374,29.288778,0
st_0086,"ТОВ ""Юнігран""",50.761396,29.264467,0
st_0087,"ТОВ ""Юнігран"" (навпроти)",50.761555,29.265003,0
st_0089,Хлібзавод,50.777463,29.278983,0
st_0090,Царське село,50.769946,29.266044,0
st_0091,Чорновола 10,50.756693,29.242235,0
st_0092,Чорновола 15,50.756261,29.244667,0
st_0093,Чорновола 36,50.755915,29.248690,0
st_0094,Чорновола 53,50.755969,29.249280,0
st_0095,Швейна фабрика,50.771717,29.253405,0
st_0096,Швейна фабрика (навпроти),50.771612,29.253180,0
st_0097,Шевченка 119,50.771988,29.222399,0
st_0098,Шевченка 22,50.769013,29.234657,0
st_0099,Юрівка,50.783650,29.285624,0
st_0100,Ярослава Мудрого,50.774202,29.249570,0
