route_id,service_id,trip_id,trip_headsign,direction_id,block_id
2,everyday,2-01,Лікарня,1,
2,everyday,2-02,Паперова фабрика,0,
2,everyday,2-03,Лікарня,1,
2,everyday,2-04,Паперова фабрика,0,
2,everyday,2-05,Лікарня,1,
2,everyday,2-06,Лікарня,1,
2,everyday,2-07,Паперова фабрика,0,
2,everyday,2-08,Лікарня,1,
2,everyday,2-09,Паперова фабрика,0,
2,everyday,2-10,Лікарня,1,
2,everyday,2-11,Лікарня,1,
2,everyday,2-12,Паперова фабрика,0,
2,everyday,2-13,Лікарня,1,
2,everyday,2-14,Паперова фабрика,0,
2,everyday,2-15,Лікарня,1,
2,everyday,2-16,Паперова фабрика,0,
2,everyday,2-17,Лікарня,1,
2,everyday,2-18,Лікарня,1,
2,everyday,2-19,Паперова фабрика,0,
2,everyday,2-20,Лікарня,1,
2,everyday,2-21,Лікарня,1,
2,everyday,2-22,Паперова фабрика,0,
2,everyday,2-23,Лікарня,1,
2,everyday,2-24,Паперова фабрика,0,
2,everyday,2-25,Лікарня,1,
2,everyday,2-26,Лікарня,1,
2,everyday,2-27,Паперова фабрика,0,
3,everyday,3-01,Залізничний вокзал,1,
3,everyday,3-02,Лікарня (Лісотехнікум),0,
3,everyday,3-03,Залізничний вокзал,1,
3,everyday,3-04,Лікарня (Лісотехнікум),0,
3,everyday,3-05,Залізничний вокзал,1,
3,everyday,3-06,Лікарня (Лісотехнікум),0,
3,everyday,3-07,Залізничний вокзал,1,
3,everyday,3-08,Лікарня (Лісотехнікум),0,
3,everyday,3-09,Залізничний вокзал,1,
3,everyday,3-10,Лікарня (Лісотехнікум),0,
3,everyday,3-11,Залізничний вокзал,1,
3,everyday,3-12,Залізничний вокзал,1,
3,everyday,3-13,Лікарня (Лісотехнікум),0,
3,everyday,3-14,Залізничний вокзал,1,
3,everyday,3-15,Лікарня (Лісотехнікум),0,
3,everyday,3-16,Залізничний вокзал,1,
3,everyday,3-17,Лікарня (Лісотехнікум),0,
3,everyday,3-18,Залізничний вокзал,1,
3,everyday,3-19,Лікарня (Лісотехнікум),0,
3,everyday,3-20,Залізничний вокзал,1,
3,everyday,3-21,Лікарня (Лісотехнікум),0,
5,everyday,5-01,Залізничний вокзал,1,
5,everyday,5-02,Лікарня,0,
5,everyday,5-03,Залізничний вокзал,1,
5,everyday,5-04,Лікарня,0,
5,everyday,5-05,Залізничний вокзал,1,
5,everyday,5-06,Лікарня,0,
5,everyday,5-07,Залізничний вокзал,1,
5,everyday,5-08,Лікарня,0,
5,everyday,5-09,Залізничний вокзал,1,
5,everyday,5-10,Лікарня,0,
5,everyday,5-11,Залізничний вокзал,1,
5,everyday,5-12,Лікарня,0,
5,everyday,5-13,Залізничний вокзал,1,
5,everyday,5-14,Лікарня,0,
5,everyday,5-15,Залізничний вокзал,1,
5,everyday,5-16,Лікарня,0,
5,everyday,5-17,Залізничний вокзал,1,
5,everyday,5-18,Лікарня,0,
5,everyday,5-19,Залізничний вокзал,1,
5,everyday,5-20,Лікарня,0,
5,everyday,5-21,Залізничний вокзал,1,
5,everyday,5-22,Залізничний вокзал,1,
5,everyday,5-23,Лікарня,0,
5,everyday,5-24,Залізничний вокзал,1,
5,everyday,5-25,Лікарня,0,
5,everyday,5-26,Залізничний вокзал,1,
5,everyday,5-27,Лікарня,0,
5,everyday,5-28,Залізничний вокзал,1,
7,everyday,7-01,Лікарня,0,
7,everyday,7-02,Залізничний вокзал,1,
7,everyday,7-03,Лікарня,0,
7,everyday,7-04,Залізничний вокзал,1,
7,everyday,7-05,Залізничний вокзал,1,
7,everyday,7-06,Лікарня,0,
7,everyday,7-07,Залізничний вокзал,1,
