route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,пн-вт-ср-чт-пт-сб-нд,1-01,Барміна,0,АІ6309ІС,,0,2
1,пн-вт-ср-чт-пт-сб-нд,1-02,Залізничний вокзал,1,АІ6309ІС,,0,2
1,пн-вт-ср-чт-пт-сб-нд,1-03,Барміна,0,АІ6315ІС,,0,2
1,пн-вт-ср-чт-пт-сб-нд,1-04,Залізничний вокзал,1,АІ6315ІС,,0,2
1,пн-вт-ср-чт-пт-сб-нд,1-05,Барміна,0,АІ8051ІА,,0,2
1,пн-вт-ср-чт-пт-сб-нд,1-06,Залізничний вокзал,1,АІ8051ІА,,0,2
6,пн-вт-ср-чт-пт-сб-нд,6-01,Поліклініка,0,АМ0033АА,,0,2
6,пн-вт-ср-чт-пт-сб-нд,6-02,Залізничний вокзал,1,АМ0033АА,,0,2
10,пн-вт-ср-чт-пт-сб-нд,10-01,Барміна,0,АІ5696АН,,0,2
10,пн-вт-ср-чт-пт-сб-нд,10-02,Поліклініка,1,АІ5696АН,,0,2
10,пн-вт-ср-чт-пт-сб-нд,10-03,Барміна,0,АІ8252ЕК,,0,2
10,пн-вт-ср-чт-пт-сб-нд,10-04,Поліклініка,1,АІ8252ЕК,,0,2
12,пн-вт-ср-чт-пт-сб-нд,12-01,Поліклініка,0,АМ0030АА,,0,2
12,пн-вт-ср-чт-пт-сб-нд,12-02,Залізничний вокзал,1,АМ0030АА,,0,2
12,пн-вт-ср-чт-пт-сб-нд,12-03,Поліклініка,0,АМ0960АА,,0,2
12,пн-вт-ср-чт-пт-сб-нд,12-04,Залізничний вокзал,1,АМ0960АА,,0,2
2,пн-вт-ср-чт-пт-сб-нд,2-01,Лікарня,1,7:00,,,
2,пн-вт-ср-чт-пт-сб-нд,2-02,Паперова фабрика,0,7:00,,,
2,пн-вт-ср-чт-пт-сб-нд,2-03,Лікарня,1,7:40,,,
2,пн-вт-ср-чт-пт-сб-нд,2-04,Паперова фабрика,0,8:00,,,
2,пн-вт-ср-чт-пт-сб-нд,2-05,Лікарня,1,8:20,,,
